State/Tribal/Other,Agency,Unit/Office,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
State Agencies,Atascadero State Hospital4,,321.0,0.0,0.0,,0.0,321.0,4,0.0,2,2,0.0
State Agencies,California State Fair4,,12.0,0.0,0.0,,0.0,12.0,79,21.0,56,2,1.0
State Agencies,Coalinga State Hospital,,149.0,0.0,0.0,,0.0,149.0,3,1.0,2,0,0.0
State Agencies,Department of Parks and Recreation,Angeles,2.0,0.0,0.0,,1.0,1.0,26,8.0,18,0,0.0
State Agencies,Department of Parks and Recreation,Bay Area,0.0,0.0,0.0,,0.0,0.0,1,0.0,0,1,0.0
State Agencies,Department of Parks and Recreation,Calaveras County4,1.0,0.0,0.0,,0.0,1.0,2,2.0,0,0,0.0
State Agencies,Department of Parks and Recreation,Capital,0.0,0.0,0.0,,0.0,0.0,7,2.0,5,0,1.0
State Agencies,Department of Parks and Recreation,Channel Coast,0.0,0.0,0.0,,0.0,0.0,16,3.0,13,0,0.0
State Agencies,Department of Parks and Recreation,Colorado,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
State Agencies,Department of Parks and Recreation,Four Rivers District,0.0,0.0,0.0,,0.0,0.0,1,0.0,1,0,0.0
State Agencies,Department of Parks and Recreation,Gold Fields District,0.0,0.0,0.0,,0.0,0.0,54,0.0,51,3,0.0
State Agencies,Department of Parks and Recreation,Hollister Hills,1.0,0.0,0.0,,0.0,1.0,0,0.0,0,0,0.0
State Agencies,Department of Parks and Recreation,Hungry Valley,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
State Agencies,Department of Parks and Recreation,Inland Empire,0.0,0.0,0.0,,0.0,0.0,7,0.0,6,1,0.0
State Agencies,Department of Parks and Recreation,Marin County,1.0,0.0,0.0,,0.0,1.0,13,8.0,5,0,0.0
State Agencies,Department of Parks and Recreation,Mendocino Headquarters,1.0,0.0,0.0,,0.0,1.0,6,1.0,5,0,0.0
State Agencies,Department of Parks and Recreation,Monterey County,0.0,0.0,0.0,,0.0,0.0,91,64.0,27,0,0.0
State Agencies,Department of Parks and Recreation,North Coast Redwoods4,0.0,0.0,0.0,,0.0,0.0,46,0.0,46,0,0.0
State Agencies,Department of Parks and Recreation,Northern Buttes4,2.0,0.0,0.0,,0.0,2.0,16,1.0,14,1,0.0
State Agencies,Department of Parks and Recreation,Oceano Dunes4,5.0,0.0,0.0,,0.0,5.0,79,3.0,71,5,5.0
State Agencies,Department of Parks and Recreation,Ocotillo Wells,0.0,0.0,0.0,,0.0,0.0,2,0.0,0,2,0.0
State Agencies,Department of Parks and Recreation,Orange Coast4,0.0,0.0,0.0,,0.0,0.0,67,32.0,34,1,0.0
State Agencies,Department of Parks and Recreation,Russian River,1.0,0.0,0.0,,0.0,1.0,30,0.0,30,0,0.0
State Agencies,Department of Parks and Recreation,San Diego Coast,0.0,0.0,0.0,,0.0,0.0,33,13.0,18,2,0.0
State Agencies,Department of Parks and Recreation,San Joaquin,2.0,0.0,0.0,,0.0,2.0,9,2.0,7,0,0.0
State Agencies,Department of Parks and Recreation,San Luis Obispo Coast4,0.0,0.0,0.0,,0.0,0.0,14,1.0,12,1,0.0
State Agencies,Department of Parks and Recreation,Santa Cruz Mountains,3.0,0.0,0.0,,0.0,3.0,68,17.0,51,0,0.0
State Agencies,Department of Parks and Recreation,Sierra,0.0,0.0,0.0,,0.0,0.0,5,0.0,4,1,0.0
State Agencies,Department of Parks and Recreation,Silverado,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
State Agencies,Department of Parks and Recreation,Tehachapi District4,2.0,0.0,0.0,,0.0,2.0,8,5.0,2,1,0.0
State Agencies,Department of Parks and Recreation,Twin Cities,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
State Agencies,Fairview Developmental Center4,,3.0,0.0,0.0,,0.0,3.0,7,2.0,4,1,0.0
State Agencies,Highway Patrol,Alameda County4,1.0,0.0,0.0,,0.0,1.0,223,0.0,51,172,0.0
State Agencies,Highway Patrol,Alpine County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
State Agencies,Highway Patrol,Amador County4,0.0,0.0,0.0,,0.0,0.0,40,0.0,5,35,0.0
State Agencies,Highway Patrol,Butte County4,0.0,0.0,0.0,,0.0,0.0,323,0.0,65,258,0.0
State Agencies,Highway Patrol,Calaveras County4,0.0,0.0,0.0,,0.0,0.0,93,0.0,8,85,0.0
State Agencies,Highway Patrol,Colusa County4,0.0,0.0,0.0,,0.0,0.0,11,0.0,0,11,0.0
State Agencies,Highway Patrol,Contra Costa County4,1.0,0.0,0.0,,0.0,1.0,697,0.0,1,696,0.0
State Agencies,Highway Patrol,Del Norte County4,0.0,0.0,0.0,,0.0,0.0,60,2.0,0,58,0.0
State Agencies,Highway Patrol,El Dorado County4,0.0,0.0,0.0,,0.0,0.0,250,0.0,141,109,0.0
State Agencies,Highway Patrol,Fresno County4,0.0,0.0,0.0,,0.0,0.0,212,0.0,21,191,0.0
State Agencies,Highway Patrol,Glenn County4,0.0,0.0,0.0,,0.0,0.0,40,0.0,9,31,0.0
State Agencies,Highway Patrol,Humboldt County4,0.0,0.0,0.0,,0.0,0.0,328,0.0,60,268,0.0
State Agencies,Highway Patrol,Imperial County4,0.0,0.0,0.0,,0.0,0.0,56,0.0,7,49,0.0
State Agencies,Highway Patrol,Inyo County4,1.0,0.0,0.0,,0.0,1.0,28,0.0,6,22,0.0
State Agencies,Highway Patrol,Kern County4,2.0,0.0,0.0,,0.0,2.0,216,0.0,17,199,0.0
State Agencies,Highway Patrol,Kings County4,0.0,0.0,0.0,,0.0,0.0,111,0.0,14,97,0.0
State Agencies,Highway Patrol,Lake County4,0.0,0.0,0.0,,0.0,0.0,198,0.0,28,170,0.0
State Agencies,Highway Patrol,Lassen County4,0.0,0.0,0.0,,0.0,0.0,29,0.0,9,20,0.0
State Agencies,Highway Patrol,Los Angeles County4,48.0,0.0,0.0,,5.0,43.0,797,4.0,64,729,0.0
State Agencies,Highway Patrol,Madera County4,0.0,0.0,0.0,,0.0,0.0,200,1.0,43,156,0.0
State Agencies,Highway Patrol,Marin County4,0.0,0.0,0.0,,0.0,0.0,99,0.0,14,85,0.0
State Agencies,Highway Patrol,Mariposa County4,0.0,0.0,0.0,,0.0,0.0,15,0.0,4,11,0.0
State Agencies,Highway Patrol,Mendocino County4,1.0,0.0,0.0,,0.0,1.0,151,0.0,14,137,0.0
State Agencies,Highway Patrol,Merced County4,1.0,0.0,0.0,,0.0,1.0,450,0.0,87,363,0.0
State Agencies,Highway Patrol,Modoc County4,0.0,0.0,0.0,,0.0,0.0,7,0.0,0,7,0.0
State Agencies,Highway Patrol,Mono County4,1.0,0.0,0.0,,0.0,1.0,0,0.0,0,0,0.0
State Agencies,Highway Patrol,Monterey County4,0.0,0.0,0.0,,0.0,0.0,389,2.0,32,355,0.0
State Agencies,Highway Patrol,Napa County4,0.0,0.0,0.0,,0.0,0.0,36,0.0,10,26,0.0
State Agencies,Highway Patrol,Nevada County4,1.0,0.0,0.0,,0.0,1.0,63,1.0,3,59,0.0
State Agencies,Highway Patrol,Orange County4,5.0,0.0,0.0,,0.0,5.0,43,0.0,22,21,0.0
State Agencies,Highway Patrol,Placer County4,0.0,0.0,0.0,,0.0,0.0,147,0.0,65,82,0.0
State Agencies,Highway Patrol,Plumas County4,0.0,0.0,0.0,,0.0,0.0,23,0.0,7,16,0.0
State Agencies,Highway Patrol,Riverside County4,19.0,0.0,1.0,,1.0,17.0,103,3.0,26,74,0.0
State Agencies,Highway Patrol,Sacramento County4,4.0,0.0,0.0,,0.0,4.0,"4,408",1.0,"1,244","3,163",0.0
State Agencies,Highway Patrol,San Benito County4,0.0,0.0,0.0,,0.0,0.0,22,0.0,1,21,0.0
State Agencies,Highway Patrol,San Bernardino County4,6.0,0.0,0.0,,2.0,4.0,77,8.0,21,48,0.0
State Agencies,Highway Patrol,San Diego County4,12.0,0.0,0.0,,0.0,12.0,101,3.0,32,66,0.0
State Agencies,Highway Patrol,San Francisco County4,0.0,0.0,0.0,,0.0,0.0,31,0.0,0,31,0.0
State Agencies,Highway Patrol,San Joaquin County4,3.0,0.0,0.0,,0.0,3.0,746,0.0,145,601,0.0
State Agencies,Highway Patrol,San Luis Obispo County4,2.0,0.0,0.0,,0.0,2.0,174,0.0,1,173,0.0
State Agencies,Highway Patrol,San Mateo County4,0.0,0.0,0.0,,0.0,0.0,13,0.0,7,6,0.0
State Agencies,Highway Patrol,Santa Barbara County4,1.0,0.0,0.0,,0.0,1.0,171,0.0,64,107,0.0
State Agencies,Highway Patrol,Santa Clara County4,1.0,0.0,0.0,,0.0,1.0,94,0.0,19,75,0.0
State Agencies,Highway Patrol,Santa Cruz County4,0.0,0.0,0.0,,0.0,0.0,483,0.0,94,389,0.0
State Agencies,Highway Patrol,Shasta County4,1.0,0.0,0.0,,1.0,0.0,239,0.0,34,205,0.0
State Agencies,Highway Patrol,Sierra County4,0.0,0.0,0.0,,0.0,0.0,2,0.0,0,2,0.0
State Agencies,Highway Patrol,Siskiyou County4,0.0,0.0,0.0,,0.0,0.0,55,0.0,8,47,0.0
State Agencies,Highway Patrol,Solano County4,0.0,0.0,0.0,,0.0,0.0,81,1.0,2,78,0.0
State Agencies,Highway Patrol,Sonoma County4,0.0,0.0,0.0,,0.0,0.0,359,0.0,107,252,0.0
State Agencies,Highway Patrol,Stanislaus County4,0.0,0.0,0.0,,0.0,0.0,707,0.0,75,632,0.0
State Agencies,Highway Patrol,Sutter County4,0.0,0.0,0.0,,0.0,0.0,37,0.0,0,37,0.0
State Agencies,Highway Patrol,Tehama County4,0.0,0.0,0.0,,0.0,0.0,164,0.0,20,144,0.0
State Agencies,Highway Patrol,Trinity County4,0.0,0.0,0.0,,0.0,0.0,57,2.0,1,54,0.0
State Agencies,Highway Patrol,Tulare County4,0.0,0.0,0.0,,0.0,0.0,514,0.0,37,477,0.0
State Agencies,Highway Patrol,Tuolumne County4,0.0,0.0,0.0,,0.0,0.0,166,0.0,83,83,0.0
State Agencies,Highway Patrol,Ventura County4,1.0,0.0,0.0,,0.0,1.0,56,0.0,17,39,0.0
State Agencies,Highway Patrol,Yolo County4,0.0,0.0,0.0,,0.0,0.0,56,0.0,9,47,0.0
State Agencies,Highway Patrol,Yuba County4,0.0,0.0,0.0,,0.0,0.0,254,0.0,14,240,0.0
State Agencies,Napa State Hospital4,,125.0,0.0,1.0,,0.0,124.0,7,3.0,4,0,0.0
State Agencies,Patton State Hospital4,,566.0,0.0,7.0,,0.0,559.0,9,4.0,5,0,0.0
State Agencies,Porterville Developmental Center4,,10.0,0.0,1.0,,0.0,9.0,14,4.0,10,0,0.0
State Agencies,Sonoma Developmental Center,,6.0,0.0,0.0,,0.0,6.0,2,0.0,2,0,0.0
Tribal Agencies,Coyote Valley Tribal,,2.0,0.0,0.0,,0.0,2.0,0,0.0,0,0,0.0
Tribal Agencies,La Jolla Tribal,,5.0,0.0,0.0,,4.0,1.0,8,2.0,6,0,0.0
Tribal Agencies,Los Coyotes Tribal,,7.0,0.0,0.0,,0.0,7.0,6,5.0,1,0,0.0
Tribal Agencies,Sycuan Tribal,,10.0,0.0,0.0,,2.0,8.0,45,7.0,19,19,
Tribal Agencies,Table Mountain Rancheria,,3.0,0.0,0.0,,2.0,1.0,40,2.0,37,1,0.0
Tribal Agencies,Tule River Tribal,,12.0,0.0,0.0,,2.0,10.0,23,9.0,9,5,0.0
Tribal Agencies,Yurok Tribal,,9.0,0.0,1.0,,6.0,2.0,26,9.0,13,4,
Other Agencies,East Bay Municipal Utility4,,1.0,0.0,0.0,,1.0,0.0,50,1.0,49,0,0.0
Other Agencies,East Bay Regional Parks,Alameda County4,9.0,2.0,3.0,,2.0,2.0,195,0.0,188,7,5.0
Other Agencies,East Bay Regional Parks,Contra Costa County,10.0,0.0,1.0,,6.0,3.0,142,0.0,138,4,1.0
Other Agencies,Fontana Unified School District,,24.0,0.0,0.0,,8.0,16.0,101,32.0,64,5,2.0
Other Agencies,Los Angeles County Metropolitan Transportation Authority,,5.0,0.0,0.0,,1.0,4.0,44,2.0,42,0,0.0
Other Agencies,Los Angeles Transportation Services Bureau,,803.0,3.0,8.0,,387.0,405.0,"1,088",11.0,939,138,6.0
Other Agencies,Monterey Peninsula Airport,,0.0,0.0,0.0,,0.0,0.0,9,5.0,0,4,0.0
Other Agencies,Port of San Diego Harbor4,,87.0,1.0,2.0,,10.0,74.0,569,53.0,513,3,2.0
Other Agencies,San Bernardino Unified School District,,69.0,0.0,3.0,,60.0,6.0,362,134.0,201,27,3.0
Other Agencies,San Francisco Bay Area Rapid Transit,Alameda County,135.0,1.0,1.0,,95.0,38.0,"1,648",3.0,"1,294",351,2.0
Other Agencies,San Francisco Bay Area Rapid Transit,Contra Costa County,49.0,0.0,2.0,,37.0,10.0,886,0.0,641,245,7.0
Other Agencies,San Francisco Bay Area Rapid Transit,San Francisco County,38.0,0.0,0.0,,25.0,13.0,207,1.0,204,2,0.0
Other Agencies,San Francisco Bay Area Rapid Transit,San Mateo County,12.0,0.0,1.0,,2.0,9.0,217,0.0,170,47,0.0
Other Agencies,Santa Clara Transit District,,39.0,0.0,1.0,,24.0,14.0,107,2.0,78,27,0.0
Other Agencies,Shasta County Marshal4,,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Stockton Unified School District,,15.0,0.0,0.0,,5.0,10.0,269,101.0,164,4,8.0
Other Agencies,Twin Rivers Unified School District,,24.0,0.0,1.0,,6.0,17.0,148,74.0,66,8,0.0
Other Agencies,Union Pacific Railroad,Alameda County4,0.0,0.0,0.0,,0.0,0.0,18,16.0,2,0,0.0
Other Agencies,Union Pacific Railroad,Amador County4,0.0,0.0,0.0,,0.0,0.0,2,1.0,1,0,0.0
Other Agencies,Union Pacific Railroad,Butte County4,0.0,0.0,0.0,,0.0,0.0,6,0.0,6,0,0.0
Other Agencies,Union Pacific Railroad,Calaveras County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Colusa County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Contra Costa County4,1.0,0.0,0.0,,0.0,1.0,5,2.0,3,0,0.0
Other Agencies,Union Pacific Railroad,El Dorado County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Fresno County4,0.0,0.0,0.0,,0.0,0.0,1,1.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Glenn County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Humboldt County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Imperial County4,0.0,0.0,0.0,,0.0,0.0,5,2.0,3,0,0.0
Other Agencies,Union Pacific Railroad,Inyo County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Kern County4,1.0,0.0,0.0,,0.0,1.0,7,3.0,4,0,0.0
Other Agencies,Union Pacific Railroad,Kings County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Lassen County4,0.0,0.0,0.0,,0.0,0.0,2,0.0,2,0,0.0
Other Agencies,Union Pacific Railroad,Los Angeles County4,0.0,0.0,0.0,,0.0,0.0,283,178.0,105,0,0.0
Other Agencies,Union Pacific Railroad,Madera County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Marin County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Mendocino County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Merced County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Modoc County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Monterey County4,0.0,0.0,0.0,,0.0,0.0,2,0.0,2,0,0.0
Other Agencies,Union Pacific Railroad,Napa County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Nevada County4,0.0,0.0,0.0,,0.0,0.0,2,0.0,2,0,0.0
Other Agencies,Union Pacific Railroad,Orange County4,0.0,0.0,0.0,,0.0,0.0,3,0.0,3,0,0.0
Other Agencies,Union Pacific Railroad,Placer County4,0.0,0.0,0.0,,0.0,0.0,12,4.0,8,0,2.0
Other Agencies,Union Pacific Railroad,Plumas County4,0.0,0.0,0.0,,0.0,0.0,4,0.0,4,0,0.0
Other Agencies,Union Pacific Railroad,Riverside County4,2.0,0.0,0.0,,0.0,2.0,20,2.0,18,0,1.0
Other Agencies,Union Pacific Railroad,Sacramento County4,0.0,0.0,0.0,,0.0,0.0,13,2.0,11,0,0.0
Other Agencies,Union Pacific Railroad,San Benito County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,San Bernardino County4,1.0,0.0,0.0,,0.0,1.0,45,10.0,35,0,1.0
Other Agencies,Union Pacific Railroad,San Francisco County4,0.0,0.0,0.0,,0.0,0.0,1,0.0,1,0,0.0
Other Agencies,Union Pacific Railroad,San Joaquin County4,0.0,0.0,0.0,,0.0,0.0,84,56.0,28,0,0.0
Other Agencies,Union Pacific Railroad,San Luis Obispo County4,0.0,0.0,0.0,,0.0,0.0,1,0.0,1,0,0.0
Other Agencies,Union Pacific Railroad,San Mateo County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Santa Barbara County4,0.0,0.0,0.0,,0.0,0.0,2,0.0,2,0,0.0
Other Agencies,Union Pacific Railroad,Santa Clara County4,0.0,0.0,0.0,,0.0,0.0,3,1.0,2,0,0.0
Other Agencies,Union Pacific Railroad,Santa Cruz County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Shasta County4,0.0,0.0,0.0,,0.0,0.0,11,0.0,11,0,0.0
Other Agencies,Union Pacific Railroad,Sierra County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Siskiyou County4,0.0,0.0,0.0,,0.0,0.0,1,0.0,1,0,0.0
Other Agencies,Union Pacific Railroad,Solano County4,0.0,0.0,0.0,,0.0,0.0,3,0.0,3,0,0.0
Other Agencies,Union Pacific Railroad,Sonoma County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Stanislaus County4,0.0,0.0,0.0,,0.0,0.0,6,1.0,5,0,0.0
Other Agencies,Union Pacific Railroad,Sutter County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Tehama County4,0.0,0.0,0.0,,0.0,0.0,1,0.0,1,0,0.0
Other Agencies,Union Pacific Railroad,Trinity County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Tulare County4,0.0,0.0,0.0,,0.0,0.0,2,1.0,1,0,0.0
Other Agencies,Union Pacific Railroad,Ventura County4,2.0,0.0,0.0,,0.0,2.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Yolo County4,0.0,0.0,0.0,,0.0,0.0,1,0.0,1,0,0.0
Other Agencies,Union Pacific Railroad,Yuba County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
